ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.04;PRETO;False;False;2;2021-11-06 18:57:48.180325
ERROR:root:;0.08;PRETO;False;False;3;2021-11-06 18:58:19.062090
ERROR:root:;0.16;PRETO;False;False;4;2021-11-06 19:02:31.537784
ERROR:root:;0.32;PRETO;False;False;5;2021-11-06 19:03:02.834549
ERROR:root:;0.64;PRETO;False;True;6;2021-11-06 19:03:34.502476
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 19:10:23.086219
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 19:10:54.693300
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 19:11:24.634712
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 19:13:02.227361
ERROR:root:;0.04;VERMELHO;False;True;2;2021-11-06 19:13:33.878197
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 19:14:38.008363
ERROR:root:;0.04;VERMELHO;False;True;2;2021-11-06 19:15:07.394767
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 19:15:40.873953
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 19:16:12.933390
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 19:23:01.370986
ERROR:root:;0.04;PRETO;False;True;2;2021-11-06 19:23:32.352808
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 19:25:37.630693
ERROR:root:;0.04;PRETO;False;False;2;2021-11-06 19:26:09.803860
ERROR:root:;0.08;PRETO;False;True;3;2021-11-06 19:26:40.199746
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 19:28:14.443707
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 19:28:46.059711
ERROR:root:;0.04;VERMELHO;False;True;2;2021-11-06 19:29:19.001903
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 19:31:23.053431
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 19:36:07.879207
ERROR:root:;0.04;VERMELHO;False;True;2;2021-11-06 19:36:39.277791
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 19:37:09.196636
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 19:37:41.174426
ERROR:root:;0.04;VERMELHO;False;False;2;2021-11-06 19:38:13.596575
ERROR:root:;0.08;VERMELHO;False;False;3;2021-11-06 19:38:43.924036
ERROR:root:;0.16;VERMELHO;False;False;4;2021-11-06 19:40:19.730762
ERROR:root:;0.32;VERMELHO;False;False;5;2021-11-06 19:40:50.457827
ERROR:root:;0.64;VERMELHO;False;False;6;2021-11-06 19:41:23.077368
ERROR:root:;0.02;PRETO;True;True;1;2021-11-06 19:43:28.128017
ERROR:root:;0.02;PRETO;True;False;1;2021-11-06 19:44:00.627531
ERROR:root:;0.04;PRETO;True;True;2;2021-11-06 19:44:31.892668
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 19:46:38.109428
ERROR:root:;0.04;PRETO;False;False;2;2021-11-06 19:47:08.615107
ERROR:root:;0.08;PRETO;False;False;3;2021-11-06 19:47:41.385995
ERROR:root:;0.16;VERMELHO;False;False;4;2021-11-06 19:50:18.840975
ERROR:root:;0.32;VERMELHO;False;True;5;2021-11-06 19:50:51.676870
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 19:52:24.250304
ERROR:root:;0.02;PRETO;True;False;1;2021-11-06 19:53:59.625990
ERROR:root:;0.04;PRETO;True;False;2;2021-11-06 19:54:30.589983
ERROR:root:;0.08;PRETO;True;False;3;2021-11-06 19:55:01.814812
ERROR:root:;0.16;PRETO;False;False;4;2021-11-06 19:55:33.850032
ERROR:root:;0.32;PRETO;False;True;5;2021-11-06 19:56:04.643768
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 19:56:36.628597
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 19:57:09.223236
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 19:57:38.687981
ERROR:root:;0.04;VERMELHO;False;True;2;2021-11-06 19:58:11.544085
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 19:58:43.716849
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 19:59:13.757877
ERROR:root:;0.04;VERMELHO;False;False;2;2021-11-06 19:59:45.234839
ERROR:root:;0.08;VERMELHO;False;True;3;2021-11-06 20:00:16.969564
ERROR:root:;0.02;VERMELHO;True;True;1;2021-11-06 20:01:21.201180
