ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.02;VERMELHO;True;False;1;2021-10-25 23:26:58.278546
ERROR:root:;0.04;VERMELHO;True;True;2;2021-10-25 23:27:30.805719
ERROR:root:;0.02;VERMELHO;False;False;1;2021-10-25 23:29:38.760217
ERROR:root:;0.04;VERMELHO;False;False;2;2021-10-25 23:30:10.203898
ERROR:root:;0.08;VERMELHO;False;False;3;2021-10-25 23:30:42.001567
ERROR:root:;0.17;PRETO;False;False;4;2021-10-25 23:40:48.667538
ERROR:root:;0.34;PRETO;False;False;5;2021-10-25 23:41:20.254538
ERROR:root:;0.68;PRETO;False;False;6;2021-10-25 23:41:51.747274
ERROR:root:;1.36;VERMELHO;False;False;7;2021-10-25 23:42:24.488347
ERROR:root:;2.72;VERMELHO;False;True;8;2021-10-25 23:42:56.001596
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-25 23:43:28.706450
ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.02;VERMELHO;False;False;1;2021-10-25 23:46:39.018392
ERROR:root:;0.04;VERMELHO;False;False;2;2021-10-25 23:47:10.292658
ERROR:root:;0.08;VERMELHO;False;False;3;2021-10-25 23:47:43.961149
ERROR:root:;0.18;VERMELHO;False;False;4;2021-10-25 23:48:14.497968
ERROR:root:;0.36;VERMELHO;False;False;5;2021-10-25 23:48:45.765199
ERROR:root:;0.72;VERMELHO;False;True;6;2021-10-25 23:49:19.252874
ERROR:root:;0.02;PRETO;False;True;1;2021-10-26 00:07:18.921334
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-26 00:07:51.714726
ERROR:root:;0.02;PRETO;False;True;1;2021-10-26 00:08:53.668756
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-26 00:11:32.282034
ERROR:root:;0.02;VERMELHO;False;False;1;2021-10-26 00:12:04.972416
ERROR:root:;0.04;VERMELHO;False;False;2;2021-10-26 00:12:36.850068
ERROR:root:;0.08;VERMELHO;False;True;3;2021-10-26 00:13:08.327056
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-26 00:16:18.175870
ERROR:root:;0.02;VERMELHO;False;False;1;2021-10-26 00:16:50.901154
ERROR:root:;0.04;VERMELHO;False;False;2;2021-10-26 00:17:22.260010
ERROR:root:;0.08;VERMELHO;False;True;3;2021-10-26 00:17:53.620171
ERROR:root:;0.02;PRETO;False;False;1;2021-10-26 00:21:03.649763
ERROR:root:;0.04;PRETO;False;True;2;2021-10-26 00:21:37.315359
ERROR:root:;0.02;PRETO;False;False;1;2021-10-26 00:25:19.250188
ERROR:root:;0.04;PRETO;False;True;2;2021-10-26 00:25:53.103088
ERROR:root:;0.02;PRETO;False;False;1;2021-10-26 00:29:37.514038
ERROR:root:;0.04;PRETO;False;True;2;2021-10-26 00:30:09.420684
ERROR:root:;0.02;VERMELHO;False;False;1;2021-10-26 00:30:40.146578
ERROR:root:;0.04;VERMELHO;False;True;2;2021-10-26 00:31:13.470999
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-26 00:32:47.842240
ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.02;PRETO;False;True;1;2021-10-26 00:46:29.785852
ERROR:root:;0.02;PRETO;True;False;1;2021-10-26 00:49:04.800031
ERROR:root:;0.04;PRETO;True;True;2;2021-10-26 00:49:36.276645
ERROR:root:;0.02;PRETO;False;False;1;2021-10-26 00:51:10.301085
ERROR:root:;0.04;PRETO;False;False;2;2021-10-26 00:51:41.584326
ERROR:root:;0.08;PRETO;False;False;3;2021-10-26 00:54:49.751106
ERROR:root:;0.19999999999999998;VERMELHO;False;True;4;2021-10-26 00:57:25.461696
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-26 00:58:29.163932
ERROR:root:;0.02;PRETO;False;True;1;2021-10-26 00:58:59.683855
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-26 00:59:32.246775
ERROR:root:;0.02;PRETO;False;True;1;2021-10-26 01:00:02.708722
ERROR:root:;0.02;VERMELHO;True;True;1;2021-10-26 01:01:06.615379
ERROR:root:;0.02;PRETO;False;False;1;2021-10-26 01:02:08.376613
ERROR:root:;0.04;PRETO;False;False;2;2021-10-26 01:02:39.837333
ERROR:root:;0.08;PRETO;False;False;3;2021-10-26 01:03:11.376597
ERROR:root:;0.18;VERMELHO;False;True;4;2021-10-26 01:07:51.675248
ERROR:root:;0.02;VERMELHO;False;False;1;2021-10-26 01:10:26.733679
ERROR:root:;0.04;VERMELHO;False;True;2;2021-10-26 01:10:57.970190
ERROR:root:;0.02;VERMELHO;False;False;1;2021-10-26 01:12:33.077476
ERROR:root:;0.04;VERMELHO;False;False;2;2021-10-26 01:13:02.367550
ERROR:root:;0.08;VERMELHO;False;True;3;2021-10-26 01:13:33.609342
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-26 01:14:35.181043
ERROR:root:;0.02;VERMELHO;False;False;1;2021-10-26 01:15:07.651536
ERROR:root:;0.04;VERMELHO;False;True;2;2021-10-26 01:15:38.973780
ERROR:root:;0.02;VERMELHO;True;True;1;2021-10-26 01:16:09.617351
ERROR:root:;0.02;PRETO;False;False;1;2021-10-26 01:19:46.974082
ERROR:root:;0.04;PRETO;False;False;2;2021-10-26 01:20:18.328241
ERROR:root:;0.08;PRETO;False;False;3;2021-10-26 01:20:47.734385
ERROR:root:;0.18;VERMELHO;False;False;4;2021-10-26 01:24:25.423155
ERROR:root:;0.36;VERMELHO;False;True;5;2021-10-26 01:24:57.071593
