ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.02;PRETO;False;True;1;2021-10-27 08:26:05.761551
ERROR:root:;0.02;PRETO;False;False;1;2021-10-27 08:26:36.496128
ERROR:root:;0.04;PRETO;False;True;2;2021-10-27 08:27:08.065582
ERROR:root:;0.02;PRETO;True;True;1;2021-10-27 08:27:37.630781
ERROR:root:;0.02;PRETO;False;True;1;2021-10-27 08:28:10.275944
ERROR:root:;0.02;PRETO;False;True;1;2021-10-27 08:28:39.248447
ERROR:root:;0.02;PRETO;False;False;1;2021-10-27 08:29:10.741485
ERROR:root:;0.04;PRETO;False;True;2;2021-10-27 08:29:42.337043
ERROR:root:;0.02;PRETO;False;False;1;2021-10-27 08:47:47.102324
ERROR:root:;0.04;PRETO;False;True;2;2021-10-27 08:48:18.977754
ERROR:root:;0.02;VERMELHO;False;False;1;2021-10-27 08:48:49.662053
ERROR:root:;0.04;VERMELHO;False;False;2;2021-10-27 08:49:19.611394
ERROR:root:;0.08;VERMELHO;False;True;3;2021-10-27 08:49:51.138276
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-27 08:50:23.854461
ERROR:root:;0.02;VERMELHO;False;False;1;2021-10-27 08:51:55.668773
ERROR:root:;0.04;VERMELHO;False;True;2;2021-10-27 08:52:27.141120
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-27 08:55:33.918899
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-27 08:56:04.625808
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-27 09:01:16.042838
ERROR:root:;0.02;VERMELHO;False;False;1;2021-10-27 09:02:17.831487
ERROR:root:;0.04;VERMELHO;False;False;2;2021-10-27 09:02:49.371407
ERROR:root:;0.08;VERMELHO;False;True;3;2021-10-27 09:03:21.036802
ERROR:root:;0.02;PRETO;False;True;1;2021-10-27 09:03:52.075622
ERROR:root:;0.02;PRETO;False;True;1;2021-10-27 09:05:27.061528
ERROR:root:;0.02;VERMELHO;False;True;1;2021-10-27 09:07:00.003255
